path,sha256,origin,source_commit,author,classification,license,decision,reviewer,evidence
CLA_REGISTRY.md,c05dc050a2a02256f22771329ef40db15eb2f442cdff5482ee8956e94df28689,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
CODE_OF_CONDUCT.md,e6ddccae740d89a5ec9e2078d90179df4625e5b5d0ee5442c4a920a79c488378,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
CONTRIBUTING.md,3b200478a5c00c995c9c8871f38ebfd781613ca0662433c9e7ea66fdb71bb115,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
GOVERNANCE.md,f72bbd5d32f17ae90514084f0503164cef005a8ffa77ca332a96423e803a756f,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,Project license notice,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,generated-license-notice,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
LICENSES/AGPL-3.0-only.txt,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,GNU/FSF canonical license text,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,upstream-license-text,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
LICENSING.md,e12d3ddab39acc79e277f60617fc8ff2eef5b22fbc265d074fc0c2ece435041d,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
MAINTAINERS.md,eb533d0d2f88e3549c89c11d8a23361062aec487eaba80c9d9b1657e816f18c8,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
MANIFEST.sha256,7a2214cbacd69617233bd36359a8539afda37223705cfc6f0ad8bc590bb19c37,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
Makefile,f8f0f1502618ad872d4fcadccefe2eb59b4977dd9651fd11c8c04709975af732,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
